slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
skyscraper-2018,581,1,1,1,1,1,1
pixels-2015,583,1,1,1,1,1,1
sabotage-2014,587,1,1,1,1,1,1
fu-kanzen-ningen,588,1,1,1,1,1,1
the-apology-king-2013,589,1,1,1,1,1,1
saiko-no-jinsei-no-mitsuke-kata,590,1,1,1,1,1,1
last-vegas-2013,591,1,1,1,1,1,1
riaru-onigokko-2015-gekijo-ban,592,1,1,1,1,1,1
slit-mouthed-woman-returns,598,1,1,1,1,1,1
mamma-mia-here-we-go-again-2018,605,1,1,1,1,1,1
5-centimeters-per-second-2007,607,1,1,1,1,1,1
the-great-passage-2013,608,1,1,1,1,1,1
kaminari-sakura,611,1,1,1,1,1,1
the-garden-of-words-2013,615,1,1,1,1,1,1
leon-2018,616,1,1,1,1,1,1
the-place-promised-in-our-early-days-2004,617,1,1,1,1,1,1
children-who-chase-lost-voices-2011,618,1,1,1,1,1,1
journey-of-a-dying-wife-2011,625,1,1,1,1,1,1
kore-de-ii-no-da-eiga-akatsuka-fujio,626,1,1,1,1,1,1
karate-girl-2011,630,1,1,1,1,1,1
brave-storm-2017,631,1,1,1,1,1,1
danger-dolls-2014,632,1,1,1,1,1,1
doki,633,1,1,1,1,1,1
kamome-shokudo-2006,635,1,1,1,1,1,1
strobe-edge-2015,638,1,1,1,1,1,1
too-young-to-die-wakakushite-shinu,641,1,1,1,1,1,1
honoo-en-no-shobo-tai,642,1,1,1,1,1,1
kotatsu-to-mikan-to-nya,651,1,1,1,1,1,1
love-s-whirlpool-2014,655,1,1,1,1,1,1
sanada-10-braves-2016,656,1,1,1,1,1,1
okami-shojo-to-kuro-oji,657,1,1,1,1,1,1
minami-no-shima-no-daitoryo-shizumi-yuku-morudibu,661,1,1,1,1,1,1
hi-i-mokuyoku,662,1,1,1,1,1,1
dake-ten-no-ki,663,1,1,1,1,1,1
tsuma-no-hi-mitsu-yu-kure-te-nao,665,1,1,1,1,1,1
kids-on-the-slope-2018,678,1,1,1,1,1,1
kiseki-2017,687,1,1,1,1,1,1
akb-love-night-koi-kojo,702,1,1,1,1,1,1
akb-love-night-koi-kojo-2,704,1,1,1,1,1,1
space-out-girl,707,1,1,1,1,1,1
sun-do-me,712,1,1,1,1,1,1
ramen-samurai-2011,713,1,1,1,1,1,1
shunkan-shojo,718,1,1,1,1,1,1
kamera-o-tomeru-na,720,1,1,1,1,1,1
birds-without-names-2017,721,1,1,1,1,1,1
shimmai-shimai-no-futari-gohan,722,1,1,1,1,1,1
ramen-kui-te,727,1,1,1,1,1,1
misumisou-2018,744,1,1,1,1,1,1
after-the-rain-2018-3,746,1,1,1,1,1,1
14sai-no-harawata,747,1,1,1,1,1,1
akb-love-night-koi-kojo-3,757,1,1,1,1,1,1
love-dog-2017,765,1,1,1,1,1,1
parks-2017,774,1,1,1,1,1,1
shimmai-shimai-no-futari-gohan-2,777,1,1,1,1,1,1
shimmai-shimai-no-futari-gohan-3,787,1,1,1,1,1,1
yurigokoro-2017,800,1,1,1,1,1,1
itsumo-tsukiyo-ni-bei-no-meshi,802,1,1,1,1,1,1
a-forest-of-wool-and-steel-2018,815,1,1,1,1,1,1
usohappyaku,828,1,1,1,1,1,1
koisuru-napori-tan-sekai-de-ichiban-oishii-aisa-re-kata,832,1,1,1,1,1,1
laid-back-camp,833,1,1,1,1,1,1
laid-back-camp-2,834,1,1,1,1,1,1
laid-back-camp-3,835,1,1,1,1,1,1
neko-samurai-minami-no-shima-e-iku,836,1,1,1,1,1,1
the-cat-in-their-arms-2018,841,1,1,1,1,1,1
chocoletta-2015,842,1,1,1,1,1,1
blank-13-2017,849,1,1,1,1,1,1
hi-ten-no-shiro,852,1,1,1,1,1,1
sekai-de-ichiban-nagai-shashin,854,1,1,1,1,1,1
love-and-other-cults-2017,863,1,1,1,1,1,1
koisuru-shefu-no-saikyo-reshipi,864,1,1,1,1,1,1
phone-of-the-dead-2019,876,1,1,1,1,1,1
oboreru-knife-2016,884,1,1,1,1,1,1
pandemic-2009,888,1,1,1,1,1,1
you-are-you-by-you-2018,891,1,1,1,1,1,1
shazam-2019,895,1,1,1,1,1,1
majan-horo-ki-2020,896,1,1,1,1,1,1
homme-less-2015,909,1,1,1,1,1,1
contagion-2011,910,1,1,1,1,1,1
pandemic-2016,911,1,1,1,1,1,1
the-naked-director-2019,924,1,1,1,1,1,1
sekigahara-2017,928,1,1,1,1,1,1
million-dollar-man-2018,934,1,1,1,1,1,1
kung-fu-yoga-2017,935,1,1,1,1,1,1
kickboxer-1989,936,1,1,1,1,1,1
to-shimae-n,937,1,1,1,1,1,1
the-circle-2017,940,1,1,1,1,1,1
world-war-z-2013,942,1,1,1,1,1,1
iki-teru-dake-de-ai,948,1,1,1,1,1,1
namiya-zakka-ten-no-kiseki,951,1,1,1,1,1,1
barbecue-2017,971,1,1,1,1,1,1
the-confidence-man-jp-the-movie-2019,979,1,1,1,1,1,1
jumper-2008,981,1,1,1,1,1,1
rocketman-2019,982,1,1,1,1,1,1
jersey-boys-2014,1001,1,1,1,1,1,1
the-founder-2017,1003,1,1,1,1,1,1
za-shefu-sho-dakara-ryori-wa-tanoshii,1007,1,1,1,1,1,1
asako-i-and-ii-2018,1010,1,1,1,1,1,1
romance-doll-2020,1018,1,1,1,1,1,1
kirakira-megane-2018,1022,1,1,1,1,1,1
burlesque-2010-2,1024,1,1,1,1,1,1
little-forest-winter-spring-2015,1025,1,1,1,1,1,1
kimi-wa-tsukiyo-ni-hikarikagayaku,1026,1,1,1,1,1,1
colors-of-wind-2018,1027,1,1,1,1,1,1
honey-and-clover-2006,1028,1,1,1,1,1,1
fat-buddies-2018,1030,1,1,1,1,1,1
gekijo,1039,1,1,1,1,1,1
the-pursuit-of-happyness-2006,1041,1,1,1,1,1,1
wasure-rare-nai-ano-natsu,1056,1,1,1,1,1,1
hatsukoi,1060,1,1,1,1,1,1
judo-girls,1069,1,1,1,1,1,1
ramen-heads-2017,1070,1,1,1,1,1,1
cats-2019,1071,1,1,1,1,1,1
sorairo-monogatari,1072,1,1,1,1,1,1
suicide-club-2002,1074,1,1,1,1,1,1
little-love-song-2019,1100,1,1,1,1,1,1
aku-no-hana,1120,1,1,1,1,1,1
sunny-32-2018,1122,1,1,1,1,1,1
gekijo-ban-kabane-shu-goku-okoshi-no-hen,1126,1,1,1,1,1,1
kaizoku-to-yoba-re-ta-otoko,1128,1,1,1,1,1,1
a-christmas-carol-1938,1130,1,1,1,1,1,1
ikigami-2008,1139,1,1,1,1,1,1
the-neighbor-no-thirteen-2005,1142,1,1,1,1,1,1
otaku-ni-koi-wa-muzukashii,1144,1,1,1,1,1,1
sway-2006,1146,1,1,1,1,1,1
wet-woman-in-the-wind-2016,1147,1,1,1,1,1,1
mane-shoto-karei-naru-dai-gyakuten,1149,1,1,1,1,1,1
arimura-ka-jun-no-to-kyu,1152,1,1,1,1,1,1
sa-do,1156,1,1,1,1,1,1
sa-do-2,1157,1,1,1,1,1,1
sa-do-3,1159,1,1,1,1,1,1
good-morning-call,1167,1,1,1,1,1,1
hold-me-back-2020,1176,1,1,1,1,1,1
bokura-no-showtime,1177,1,1,1,1,1,1
houundefined-tsu,1178,1,1,1,1,1,1
hikkoshi-daimyo,1184,1,1,1,1,1,1
gs-wonderland-2008,1185,1,1,1,1,1,1
cube-1997,1189,1,1,1,1,1,1
laid-back-camp-4,1190,1,1,1,1,1,1
parallel-world-love-story-2019,1196,1,1,1,1,1,1
goodbye-debussy-2013,1200,1,1,1,1,1,1
satsujin-oni-o-kau-onna,1204,1,1,1,1,1,1
4-tsuki-no-kimi-supika,1207,1,1,1,1,1,1
ozu-rando-egao-no-maho-oshie-masu,1209,1,1,1,1,1,1
bento-harassment-2019,1220,1,1,1,1,1,1
the-age-of-adaline-2015,1233,1,1,1,1,1,1
ready-player-one-2018,1234,1,1,1,1,1,1
liar-uncover-the-truth-2019,1237,1,1,1,1,1,1
kimi-no-hitomi-ga-toikake-te-iru,1245,1,1,1,1,1,1
living-in-the-sky-2020,1249,1,1,1,1,1,1
chia-danshi,1251,1,1,1,1,1,1
ai-uta-yakusoku-no-nakuhito,1253,1,1,1,1,1,1
ano-koro-kimi-o-oikake-ta,1255,1,1,1,1,1,1
just-only-love-2019,1256,1,1,1,1,1,1
wings-over-everest-2019,1257,1,1,1,1,1,1
ai-amok-2020,1258,1,1,1,1,1,1
ogawa-dorama-oda-nobunaga,1260,1,1,1,1,1,1
nippon-chimbotsu-2020,1261,1,1,1,1,1,1
nippon-chimbotsu-2020-2,1262,1,1,1,1,1,1
nippon-chimbotsu-2020-3,1264,1,1,1,1,1,1
nippon-chimbotsu-2020-4,1267,1,1,1,1,1,1
nippon-chimbotsu-2020-5,1269,1,1,1,1,1,1
nippon-chimbotsu-2020-6,1270,1,1,1,1,1,1
nozomi,1271,1,1,1,1,1,1
milk-white-2004,1272,1,1,1,1,1,1
stolen-identity-2-2018,1274,1,1,1,1,1,1
midnight-sun-2018,1275,1,1,1,1,1,1
aquaman-2018,1281,1,1,1,1,1,1
kabaddi-kabaddi,1283,1,1,1,1,1,1
ogawacho-serenade-2014,1284,1,1,1,1,1,1
police-story-lockdown-2013,1287,1,1,1,1,1,1
japan-s-longest-day-1967,1291,1,1,1,1,1,1
say-i-love-you-2014,1292,1,1,1,1,1,1
joze-to-tora-to-sakana-tachi,1294,1,1,1,1,1,1
green-book-2018,1295,1,1,1,1,1,1
nippon-chimbotsu,1300,1,1,1,1,1,1
the-iron-lady-2011,1301,1,1,1,1,1,1
my-girlfriend-is-a-serial-killer-2019,1303,1,1,1,1,1,1
shijin-so-no-satsujin-2019,1307,1,1,1,1,1,1
sumika-sumire-2017,1317,1,1,1,1,1,1
